Total,Comunidad Asiática,Region,condado,porcentaje comunidad asiatica
26181.0,68.0,South Carolina,Edgefield,0.2597303387953096
20942.0,77.0,South Carolina,Fairfield,0.3676821698023111
137015.0,2067.0,South Carolina,Florence,1.5085939495675655
63594.0,293.0,South Carolina,Georgetown,0.4607352894927194
528251.0,13333.0,South Carolina,Greenville,2.5239895428498955
69309.0,471.0,South Carolina,Greenwood,0.679565424403757
18890.0,146.0,South Carolina,Hampton,0.7728957120169402
356578.0,4662.0,South Carolina,Horry,1.3074278278525315
29444.0,177.0,South Carolina,Jasper,0.6011411493003668
65779.0,294.0,South Carolina,Kershaw,0.4469511546238161
97611.0,1904.0,South Carolina,Lancaster,1.9505998299372
67456.0,404.0,South Carolina,Laurens,0.5989089184060721
16557.0,14.0,South Carolina,Lee,0.0845563809868937
295934.0,6127.0,South Carolina,Lexington,2.0703940743544167
9612.0,22.0,South Carolina,McCormick,0.2288805659592176
29212.0,65.0,South Carolina,Marion,0.2225112967273723
26585.0,81.0,South Carolina,Marlboro,0.3046830919691555
37918.0,83.0,South Carolina,Newberry,0.2188934015507146
78775.0,625.0,South Carolina,Oconee,0.7933989209774674
84159.0,608.0,South Carolina,Orangeburg,0.7224420442258106
131106.0,2352.0,South Carolina,Pickens,1.7939682394398426
416161.0,12021.0,South Carolina,Richland,2.888545538865968
18952.0,47.0,South Carolina,Saluda,0.2479949345715491
330119.0,7438.0,South Carolina,Spartanburg,2.2531269027229577
105199.0,1347.0,South Carolina,Sumter,1.2804304223424177
27158.0,37.0,South Carolina,Union,0.1362397820163487
30879.0,244.0,South Carolina,Williamsburg,0.790181029178406
282987.0,7592.0,South Carolina,York,2.682808750932021
33367.0,268.0,Virginia,Accomack,0.8031887793328738
112513.0,6319.0,Virginia,Albemarle,5.616239901166977
15159.0,9.0,Virginia,Alleghany,0.059370670888581
13309.0,1.0,Virginia,Amelia,0.0075137125253587
31426.0,226.0,Virginia,Amherst,0.7191497486157958
16253.0,51.0,Virginia,Appomattox,0.3137882237125454
235845.0,24308.0,Virginia,Arlington,10.306769276431554
77433.0,346.0,Virginia,Augusta,0.4468379114847675
4177.0,14.0,Virginia,Bath,0.3351687814220732
79761.0,1010.0,Virginia,Bedford,1.266283020523815
6241.0,9.0,Virginia,Bland,0.1442076590290017
33734.0,170.0,Virginia,Botetourt,0.5039426098298452
15965.0,15.0,Virginia,Brunswick,0.0939555277168806
20246.0,10.0,Virginia,Buchanan,0.0493924725871777
16869.0,4.0,Virginia,Buckingham,0.023712134684925
55518.0,555.0,Virginia,Campbell,0.9996757808278396
31181.0,317.0,Virginia,Caroline,1.0166447516115582
29126.0,38.0,Virginia,Carroll,0.1304676234292384
6760.0,13.0,Virginia,Charles City,0.1923076923076923
11563.0,42.0,Virginia,Charlotte,0.3632275361065467
366019.0,12831.0,Virginia,Chesterfield,3.505555722517137
14882.0,184.0,Virginia,Clarke,1.236392957935761
4898.0,0.0,Virginia,Craig,0.0
52822.0,381.0,Virginia,Culpeper,0.721290371436144
9697.0,79.0,Virginia,Cumberland,0.8146849541095184
14089.0,50.0,Virginia,Dickenson,0.3548867911136347
28057.0,215.0,Virginia,Dinwiddie,0.7662971807392094
10602.0,60.0,Virginia,Essex,0.5659309564233164
1145354.0,231660.0,Virginia,Fairfax,20.22606111298341
73290.0,1318.0,Virginia,Fauquier,1.798335379997271
15532.0,62.0,Virginia,Floyd,0.3991758949266031
27442.0,381.0,Virginia,Fluvanna,1.388382770935063
54838.0,353.0,Virginia,Franklin,0.6437142127721652
92007.0,1794.0,Virginia,Frederick,1.9498516417229124
16711.0,59.0,Virginia,Giles,0.3530608581174076
38875.0,258.0,Virginia,Gloucester,0.6636655948553055
24906.0,429.0,Virginia,Goochland,1.7224765116839316
15356.0,184.0,Virginia,Grayson,1.198228705392029
20631.0,481.0,Virginia,Greene,2.331442974165092
11373.0,37.0,Virginia,Greensville,0.3253319264925701
34013.0,72.0,Virginia,Halifax,0.2116837679710698
110513.0,1877.0,Virginia,Hanover,1.6984427171463992
333120.0,31395.0,Virginia,Henrico,9.424531700288185
50760.0,249.0,Virginia,Henry,0.4905437352245863
2247.0,69.0,Virginia,Highland,3.0707610146862483
38898.0,402.0,Virginia,Isle of Wight,1.0334721579515656
78818.0,2012.0,Virginia,James City,2.5527163845822023
6681.0,0.0,Virginia,King and Queen,0.0
26985.0,366.0,Virginia,King George,1.3563090605892163
17845.0,135.0,Virginia,King William,0.7565144298122723
10866.0,54.0,Virginia,Lancaster,0.4969630038652678
22287.0,57.0,Virginia,Lee,0.2557544757033248
420773.0,86676.0,Virginia,Loudoun,20.599230463931857
38106.0,185.0,Virginia,Louisa,0.4854878496824647
11988.0,40.0,Virginia,Lunenburg,0.333667000333667
13828.0,98.0,Virginia,Madison,0.708706971362453
8537.0,0.0,Virginia,Mathews,0.0
30367.0,311.0,Virginia,Mecklenburg,1.024138044587875
